y,udnew,OI,net,opmcl,short
0 ,-21.00 ,57682.00 ,21706.00 ,36.00 ,39377.00 
1 ,-14.00 ,54125.00 ,19473.00 ,-31.00 ,37499.00 
1 ,-10.00 ,55591.00 ,18289.00 ,14.00 ,37291.00 
0 ,-11.00 ,53433.00 ,13634.00 ,-47.00 ,34549.00 
1 ,14.00 ,57452.00 ,17432.00 ,43.00 ,38479.00 
1 ,-39.00 ,52927.00 ,14385.00 ,-69.00 ,37845.00 
0 ,53.00 ,41467.00 ,11448.00 ,11.00 ,34819.00 
0 ,35.00 ,33041.00 ,8716.00 ,46.00 ,37702.00 
0 ,-90.00 ,22064.00 ,10118.00 ,6.00 ,28720.00 
0 ,-110.00 ,47471.00 ,1724.00 ,-58.00 ,23350.00 
0 ,-18.00 ,47918.00 ,3710.00 ,18.00 ,23994.00 
1 ,16.00 ,47674.00 ,6405.00 ,-23.00 ,25555.00 
1 ,107.00 ,49790.00 ,9584.00 ,-12.00 ,27898.00 
0 ,47.00 ,52256.00 ,12067.00 ,50.00 ,29659.00 
1 ,42.00 ,57493.00 ,16846.00 ,-7.00 ,34036.00 
0 ,25.00 ,58227.00 ,14806.00 ,0.00 ,33054.00 
0 ,44.00 ,58203.00 ,12443.00 ,43.00 ,31376.00 
1 ,60.00 ,58731.00 ,17574.00 ,-10.00 ,34468.00 
1 ,30.00 ,57018.00 ,15108.00 ,22.00 ,31887.00 
1 ,-44.00 ,58299.00 ,17368.00 ,3.00 ,34151.00 
1 ,-14.00 ,58642.00 ,20984.00 ,-56.00 ,37702.00 
1 ,28.00 ,55062.00 ,20908.00 ,-5.00 ,36069.00 
1 ,52.00 ,56159.00 ,20709.00 ,9.00 ,36735.00 
0 ,-46.00 ,55130.00 ,18582.00 ,33.00 ,36420.00 
1 ,-37.00 ,50964.00 ,21281.00 ,-57.00 ,40143.00 
0 ,-8.00 ,47194.00 ,21476.00 ,1.00 ,46275.00 
1 ,54.00 ,39011.00 ,24566.00 ,5.00 ,51107.00 
1 ,-12.00 ,26310.00 ,20819.00 ,14.00 ,34469.00 
1 ,6.00 ,52581.00 ,21387.00 ,-71.00 ,34574.00 
0 ,22.00 ,55609.00 ,19318.00 ,66.00 ,33545.00 
0 ,8.00 ,56331.00 ,20179.00 ,0.00 ,34219.00 
1 ,48.00 ,56788.00 ,22954.00 ,3.00 ,36896.00 
0 ,-22.00 ,58676.00 ,20363.00 ,20.00 ,35909.00 
1 ,3.00 ,60200.00 ,21926.00 ,6.00 ,37837.00 
0 ,-237.00 ,58958.00 ,14446.00 ,-10.00 ,32938.00 
1 ,78.00 ,60681.00 ,21683.00 ,-52.00 ,38596.00 
1 ,32.00 ,61095.00 ,20154.00 ,10.00 ,37098.00 
0 ,-70.00 ,60833.00 ,17578.00 ,12.00 ,35210.00 
1 ,109.00 ,61896.00 ,22408.00 ,13.00 ,38346.00 
0 ,9.00 ,59640.00 ,17071.00 ,24.00 ,32942.00 
1 ,17.00 ,61444.00 ,17945.00 ,21.00 ,34406.00 
0 ,-21.00 ,60249.00 ,16977.00 ,-36.00 ,34599.00 
1 ,49.00 ,61193.00 ,18174.00 ,21.00 ,35520.00 
0 ,-38.00 ,60115.00 ,11971.00 ,8.00 ,32664.00 
0 ,13.00 ,60296.00 ,12356.00 ,0.00 ,33107.00 
0 ,34.00 ,60750.00 ,16110.00 ,34.00 ,36416.00 
1 ,39.00 ,60883.00 ,21261.00 ,26.00 ,40118.00 
1 ,-41.00 ,59255.00 ,17653.00 ,-15.00 ,37677.00 
1 ,-1.00 ,55318.00 ,17331.00 ,-35.00 ,39584.00 
1 ,26.00 ,46849.00 ,17778.00 ,0.00 ,41989.00 
1 ,5.00 ,40178.00 ,21558.00 ,15.00 ,49597.00 
0 ,-23.00 ,22263.00 ,23174.00 ,-4.00 ,36939.00 
1 ,111.00 ,59584.00 ,28349.00 ,13.00 ,41610.00 
1 ,63.00 ,62628.00 ,28689.00 ,14.00 ,43349.00 
1 ,36.00 ,63245.00 ,27351.00 ,9.00 ,42339.00 
0 ,22.00 ,63706.00 ,27517.00 ,7.00 ,43001.00 
1 ,76.00 ,65233.00 ,30718.00 ,6.00 ,45496.00 
0 ,-14.00 ,64439.00 ,25001.00 ,-3.00 ,43523.00 
0 ,-2.00 ,64128.00 ,25121.00 ,7.00 ,44306.00 
0 ,29.00 ,60968.00 ,22207.00 ,23.00 ,40727.00 
0 ,11.00 ,61087.00 ,23312.00 ,12.00 ,40586.00 
0 ,36.00 ,58461.00 ,21568.00 ,15.00 ,38461.00 
1 ,24.00 ,58373.00 ,20012.00 ,22.00 ,37264.00 
1 ,34.00 ,58607.00 ,21338.00 ,15.00 ,38191.00 
1 ,50.00 ,60591.00 ,22138.00 ,15.00 ,39603.00 
1 ,10.00 ,59671.00 ,20136.00 ,9.00 ,37471.00 
1 ,-40.00 ,59477.00 ,19205.00 ,-15.00 ,36844.00 
1 ,-22.00 ,56045.00 ,18010.00 ,-32.00 ,37217.00 
1 ,12.00 ,51317.00 ,17867.00 ,-15.00 ,42211.00 
1 ,41.00 ,45421.00 ,17776.00 ,7.00 ,48996.00 
1 ,-55.00 ,30732.00 ,12174.00 ,-1.00 ,30308.00 
1 ,-75.00 ,48667.00 ,12089.00 ,-115.00 ,31749.00 
0 ,-47.00 ,48777.00 ,7157.00 ,1.00 ,28796.00 
0 ,-5.00 ,51660.00 ,9744.00 ,0.00 ,32725.00 
1 ,-21.00 ,54314.00 ,7752.00 ,7.00 ,33961.00 
1 ,8.00 ,55548.00 ,9158.00 ,-27.00 ,35640.00 
1 ,75.00 ,59119.00 ,11992.00 ,25.00 ,40015.00 
0 ,-10.00 ,57180.00 ,10230.00 ,1.00 ,38437.00 
1 ,93.00 ,61219.00 ,14034.00 ,14.00 ,42359.00 
1 ,114.00 ,60638.00 ,10719.00 ,9.00 ,41112.00 
0 ,16.00 ,55712.00 ,5053.00 ,24.00 ,36423.00 
1 ,88.00 ,58332.00 ,7274.00 ,-4.00 ,39134.00 
0 ,-3.00 ,58194.00 ,2585.00 ,33.00 ,36187.00 
0 ,-1.00 ,59618.00 ,5363.00 ,-1.00 ,39075.00 
1 ,-1.00 ,63825.00 ,8308.00 ,1.00 ,43220.00 
1 ,-11.00 ,62273.00 ,8430.00 ,-27.00 ,43084.00 
1 ,77.00 ,63129.00 ,7599.00 ,3.00 ,43862.00 
0 ,-74.00 ,54195.00 ,2645.00 ,-13.00 ,39604.00 
1 ,89.00 ,47746.00 ,3310.00 ,-7.00 ,47835.00 
0 ,24.00 ,37598.00 ,-1144.00 ,52.00 ,44726.00 
